,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-11-01,241106,92,0.336,0.164,0.627,0.0,0.0708,-7.463,0.0384,150.273,4
1,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,87,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4
2,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,85,0.629,0.00981,0.692,0.331,0.603,-8.045,0.0376,162.948,4
3,Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019-03-22,178000,85,0.682,0.156,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,4
4,ALWAYS DO,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,151704,84,0.762,0.0442,0.426,0.0,0.0858,-6.865,0.113,167.827,4
5,Adore You,Fine Line,Harry Styles,2019-12-13,207133,87,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
6,Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,2018-12-10,169999,81,0.736,0.186,0.67,0.0,0.114,-6.702,0.311,130.032,4
7,ANTES QUE SE ACABE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,2020-11-27,221186,82,0.693,0.505,0.549,4.73e-05,0.324,-6.098,0.0577,139.988,4
8,A Holly Jolly Christmas - Single Version,Have A Holly Jolly Christmas,Burl Ives,1965-01-01,135533,76,0.683,0.579,0.375,0.0,0.076,-13.056,0.0303,140.467,4
9,"...And To Those I Love, Thanks For Sticking Around",STOP STARING AT THE SHADOWS,$uicideBoy$,2020-02-14,168489,81,0.792,0.13,0.512,8.82e-05,0.14,-6.875,0.0408,113.978,4
10,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86,0.422,0.922,0.264,0.0,0.132,-7.064,0.0322,119.93,4
11,"Ay, DiOs Mío!","Ay, DiOs Mío!",KAROL G,2020-07-10,189653,91,0.718,0.512,0.712,0.00121,0.104,-4.366,0.174,180.034,4
12,At My Worst,The Prelude,Pink Sweat$,2020-07-17,170344,85,0.813,0.777,0.415,0.0,0.131,-5.926,0.0349,91.921,4
13,a lot,i am > i was,21 Savage,2018-12-21,288624,78,0.837,0.0395,0.636,0.00125,0.342,-7.643,0.086,145.972,4
14,All I Want,In A Perfect World (Expanded Edition),Kodaline,2013-06-17,305746,83,0.209,0.172,0.412,0.15,0.0843,-9.733,0.0443,86.26,3
15,Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,2020-10-15,136224,80,0.913,0.272,0.391,0.0,0.0666,-11.158,0.368,141.05,4
16,Amarillo,Contemplando El Cielo Vol. 3,Various Artists,2020-12-02,158146,0,0.876,0.0118,0.85,0.0067,0.111,-5.75,0.163,122.666,5
17,Amarillo,Finde Largo,Various Artists,2020-12-04,158146,0,0.876,0.0118,0.85,0.0067,0.111,-5.75,0.163,122.666,5
18,Azul,Cuarentena Infinita Party: Reggaeton,Various Artists,2020-12-03,206373,0,0.842,0.101,0.828,0.00179,0.0579,-2.495,0.0696,94.015,4
19,Africa,Toto IV,TOTO,1982-04-08,295893,83,0.671,0.257,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,4
20,As the World Caves In,As the World Caves In,Matt Maltese,2017-03-06,218754,77,0.331,0.365,0.45,0.00464,0.22,-5.362,0.034,123.829,4
21,All I Want For Christmas Is You (SuperFestive!),God Jul,Various Artists,2020-12-04,239920,0,0.562,0.315,0.937,0.0,0.448,-4.059,0.0596,150.001,4
22,A Thousand Years,A Thousand Years,Christina Perri,2011-10-18,285120,81,0.421,0.309,0.407,0.000961,0.11,-7.445,0.0267,139.028,3
23,Ain't Always The Cowboy,Heartache Medication,Jon Pardi,2019-09-27,220880,73,0.539,0.0094,0.837,0.0,0.262,-3.458,0.0385,151.913,4
24,Almost Maybes,Almost Maybes,Jordan Davis,2020-05-08,179152,74,0.582,0.146,0.868,0.0,0.103,-3.927,0.0522,90.105,4
25,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,79,0.376,0.0902,0.43,0.0,0.0912,-6.585,0.0328,77.599,3
26,Almost (Sweet Music),"Wasteland, Baby!",Hozier,2019-03-01,217480,74,0.523,0.0215,0.687,2.86e-06,0.203,-5.601,0.105,90.036,4
27,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Taylor Swift,2020-11-25,260000,62,0.554,0.5,0.663,4.77e-05,0.791,-8.961,0.0324,89.977,4
28,august,folklore,Taylor Swift,2020-07-24,261922,77,0.532,0.538,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4
29,After Hours,After Hours,The Weeknd,2020-03-20,361026,80,0.664,0.0811,0.572,0.00604,0.121,-6.099,0.0305,108.959,4
30,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,94,0.823,0.114,0.586,0.0,0.193,-6.606,0.2,125.971,4
31,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,95,0.889,0.218,0.34,0.13,0.055,-7.773,0.0697,94.009,4
32,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,232533,85,0.487,0.191,0.65,0.0,0.0933,-5.195,0.0253,151.964,4
